title,date
Live Now! Apa Kabar Saham-saham yang Pernah Hype di Bursa?,26 August 2021 18:29
"Pernah Sensasional-Disebut Jokowi, Apa Kabar Saham-saham Ini?",26 August 2021 06:21
"Sempat Jadi Primadona, Bagaimana Kabar Saham-Saham Ini?",24 August 2021 15:35
Fakta-fakta Harga Tes Swab PCR Dipangkas Jadi Rp 495.000,22 August 2021 12:40
"Kimia Farma Siap Rights Issue 2,7 Miliar Saham, Dapat Berapa?",19 August 2021 09:40
Sah! Fungsionaris GP Ansor Rahmat Hidayat Jadi Komisaris KAEF,18 August 2021 21:23
Siapa Investor di Balik Biotis Pembuat Vaksin Merah Putih?,18 August 2021 16:40
Tarif Tes PCR di Kimia Farma Kini Rp 495 Ribu,18 August 2021 10:41
Resmi! Kimia Farma Turunkan Harga Swab Test PCR,16 August 2021 19:19
"Harga PCR Dipangkas Jokowi, Saham Laboratorium & RS Tumbang!",16 August 2021 16:50
"Jokowi: Biaya PCR Termahal Rp 500.000, Berapa di Kimia Farma?",16 August 2021 14:40
"Eits! PPKM Diperpanjang, Saham-saham Farmasi Unjuk Gigi",10 August 2021 10:17
"Menkes BGS Hapus Vaksinasi Berbayar, Saham KAEF-INAF Ambles!",09 August 2021 13:48
Ampun deh! Saham Farmasi Ramai-ramai Ambles Lagi,06 August 2021 11:05
"Saham-saham Paling Tekor Sebulan, Masih Ada 5 yang Tercuan!",02 August 2021 06:10
"Deretan Skandal Lapkeu di Pasar Saham RI, Indofarma-Hanson!",27 July 2021 13:30
"Saham BGTG-AGRO 'Tancap Gas', Matahari-Gudang Garam ARB!",19 July 2021 12:54
"Jokowi Batalkan Vaksin Berbayar, Saham KAEF Dkk Babak Belur",19 July 2021 09:47
"BPOM Restui 8 Obat Terapi Covid, Saham Farmasi Nyungsep Lagi!",16 July 2021 12:25
"Pegangan! Saham Farmasi Longsor, Duo KAEF-INAF Selamat",15 July 2021 14:08
"Vaksinasi Berbayar, Siapa 'Bohir' di Balik Vaksin Sinopharm?",15 July 2021 11:40
"Ada Sell on News! BPOM Restui Ivermectin, Saham Farmasi Drop",15 July 2021 10:38
"Disuntik dengan PMN, Harga Saham BUMN Ijo Royo-royo",15 July 2021 10:29
"Ivermectin Resmi Dapat Izin Edar, Investor Pantau INAF-KAEF?",15 July 2021 08:13
"Covid 'Meledak', DPR Desak Erick Tambah PMN BUMN Kesehatan",14 July 2021 19:49
Kabar Baik! BUMN Farmasi-Perkapalan Bakal Dapat Proyek INA,14 July 2021 14:20
Wamen BUMN: Holding RS & Farmasi Bakal Investasi Jor-joran,14 July 2021 13:05
"Lagi Pandemi, Saham-saham Farmasi Punya Saingan Berat Nih!",14 July 2021 07:40
"Saham AMAR-BBHI 'Ngamuk', EXCL-KAEF Terjun Bebas!",13 July 2021 12:55
"Vaksin Berbayar Ditunda, Harga Saham KAEF Rontok",13 July 2021 09:36
"Kimia Farma Rights Issue 2,7 Miliar Saham, Dananya buat Apa?",13 July 2021 08:50
"Heboh Vaksinasi Berbayar Kimia Farma, Erick Thohir Buka Suara",13 July 2021 08:15
"Tunda Vaksin Berbayar, Begini Sebetulnya Keuangan Kimia Farma",12 July 2021 18:10
"Saham BNBA-KAEF Cuan Gede, Giliran AGRS-EMTK Anjlok!",12 July 2021 15:53
Titah Erick ke Bio Farma: Genjot 40 Juta Dosis Vaksin/bulan!,12 July 2021 13:30
"Kok Vaksinasi Berbayar di Kimia Farma Ditunda, Banjir Protes?",12 July 2021 11:43
"Vaksin Berbayar Ditunda, Saham KAEF Dkk Masih Tetap 'Ngamuk'",12 July 2021 09:48
Tok! Layanan Vaksinasi Berbayar di Kimia Farma Resmi Ditunda,12 July 2021 09:21
"Bareng Menkes, Luhut Finalisasi Rencana Bagi-bagi Obat Covid",12 July 2021 08:13
"Hari Ini Bisa Vaksin Berbayar di Kimia Farma, Pakai Sinopharm",12 July 2021 06:41
KAEF Soal Jual Vaksin Rp 321.660/Dosis: Bukan Komersialisasi!,11 July 2021 17:10
Nih! Cara Beli Vaksin Covid-19 di Klinik Kimia Farma,11 July 2021 13:29
"Vaksin Covid Dijual Rp321 Ribu per Senin, Ini Jenis Vaksinnya",11 July 2021 10:01
"Ivermectin Lagi Diuji, Saham INAF-KAEF-IRRA cs Ngamuk!",08 July 2021 10:48
"Eric Murka Obat Mahal, Saham Farmasi Dilanda Profit Taking",06 July 2021 10:56
"Joss! 15 Saham Tercuan, GGRM Teratas Digoyang Isu Akuisisi",05 July 2021 06:40
"Saham Ini Cuan 24% Jadi Jawara, Saat RI PPKM Mau Darurat",02 July 2021 16:45
"Warga Borong Vitamin-Obat Antivirus, Ini Efek ke Bisnis KAEF",02 July 2021 14:25
