,title,date,adj close,volume,diff1_adj_close,target_1day,diff2_adj_close,target_2day,diff3_adj_close,target_3day,diff4_adj_close,target_4day,diff5_adj_close,target_5day,diff6_adj_close,target_6day,diff7_adj_close,target_7day,diff8_adj_close,target_8day,diff9_adj_close,target_9day,diff10_adj_close,target_10day,diff11_adj_close,target_11day,diff12_adj_close,target_12day,diff13_adj_close,target_13day,diff14_adj_close,target_14day
533,"Garuda Batal Terbitkan Surat Utang Rp 12,6 T, Ada Apa?",2020-01-06,494.0,11610700.0,-8.0,0,-26.0,0,-38.0,0,-28.0,0,-22.0,0,-22.0,0,-22.0,0,-26.0,0,-38.0,0,-38.0,0,-42.0,0,-38.0,0,-38.0,0,-38.0,0
532,"Sebelum Transaksi, Simak Sejumlah Kabar dari Pasar",2020-01-07,486.0,24567800.0,-18.0,0,-30.0,0,-20.0,0,-14.0,0,-14.0,0,-14.0,0,-18.0,0,-30.0,0,-30.0,0,-34.0,0,-30.0,0,-30.0,0,-30.0,0,-32.0,0
531,"Harga Minyak Sedang Naik, Waspadai Saham-saham Ini",2020-01-07,486.0,24567800.0,-18.0,0,-30.0,0,-20.0,0,-14.0,0,-14.0,0,-14.0,0,-18.0,0,-30.0,0,-30.0,0,-34.0,0,-30.0,0,-30.0,0,-30.0,0,-32.0,0
530,"Konflik AS-Iran, Penerbangan Garuda ke Eropa Aman Gak?",2020-01-09,456.0,25287500.0,10.0,1,16.0,1,16.0,1,16.0,1,12.0,1,0.0,0,0.0,0,-4.0,0,0.0,0,0.0,0,0.0,0,-2.0,0,-16.0,0,-32.0,0
529,Ssst...Erick Thohir Sudah Kantongi Nama Direksi Garuda,2020-01-10,466.0,30681600.0,6.0,1,6.0,1,6.0,1,2.0,1,-10.0,0,-10.0,0,-14.0,0,-10.0,0,-10.0,0,-10.0,0,-12.0,0,-26.0,0,-42.0,0,-54.0,0
528,"Erick Thohir Akhirnya Ungkap Modus BUMN Vermak Lapkeu, Duh!",2020-01-11,472.0,47354300.0,0.0,0,0.0,0,-4.0,0,-16.0,0,-16.0,0,-20.0,0,-16.0,0,-16.0,0,-16.0,0,-18.0,0,-32.0,0,-48.0,0,-60.0,0,-86.0,0
526,"3 BUMN Bakal Terbitkan Surat Utang Total Rp 27 T, untuk Apa?",2020-01-13,472.0,47354300.0,-4.0,0,-16.0,0,-16.0,0,-20.0,0,-16.0,0,-16.0,0,-16.0,0,-18.0,0,-32.0,0,-48.0,0,-60.0,0,-86.0,0,-86.0,0,-86.0,0
525,"Direksi-Komisaris Garuda Dirombak, Ini Bocoran Sosok Dirutnya",2020-01-13,472.0,47354300.0,-4.0,0,-16.0,0,-16.0,0,-20.0,0,-16.0,0,-16.0,0,-16.0,0,-18.0,0,-32.0,0,-48.0,0,-60.0,0,-86.0,0,-86.0,0,-86.0,0
527,"Tak Hanya Surat Utang, Erick Soroti Modus BUMN Permak Lapkeu",2020-01-13,472.0,47354300.0,-4.0,0,-16.0,0,-16.0,0,-20.0,0,-16.0,0,-16.0,0,-16.0,0,-18.0,0,-32.0,0,-48.0,0,-60.0,0,-86.0,0,-86.0,0,-86.0,0
524,"BCA-WeChat Siap Bermitra, Begini Sosok Calon Bos Garuda",2020-01-14,468.0,17727700.0,-12.0,0,-12.0,0,-16.0,0,-12.0,0,-12.0,0,-12.0,0,-14.0,0,-28.0,0,-44.0,0,-56.0,0,-82.0,0,-82.0,0,-82.0,0,-52.0,0
523,"Irfan Setiaputra Dipanggil BUMN, Bakal Jadi Dirut Garuda?",2020-01-14,468.0,17727700.0,-12.0,0,-12.0,0,-16.0,0,-12.0,0,-12.0,0,-12.0,0,-14.0,0,-28.0,0,-44.0,0,-56.0,0,-82.0,0,-82.0,0,-82.0,0,-52.0,0
522,Rombak Habis! Erick Sinyalkan Ganti Dirut-Komut Garuda,2020-01-17,452.0,8908800.0,4.0,1,4.0,1,4.0,1,2.0,1,-12.0,0,-28.0,0,-40.0,0,-66.0,0,-66.0,0,-66.0,0,-36.0,0,-26.0,0,-34.0,0,-48.0,0
521,"Ganti Dirut dan Komut Garuda, Erick: Calon Sudah Ada",2020-01-17,452.0,8908800.0,4.0,1,4.0,1,4.0,1,2.0,1,-12.0,0,-28.0,0,-40.0,0,-66.0,0,-66.0,0,-66.0,0,-36.0,0,-26.0,0,-34.0,0,-48.0,0
520,"Calon Dirut Garuda Sudah Ada, BPK Investigasi Asabri",2020-01-20,456.0,20606000.0,-2.0,0,-16.0,0,-32.0,0,-44.0,0,-70.0,0,-70.0,0,-70.0,0,-40.0,0,-30.0,0,-38.0,0,-52.0,0,-68.0,0,-68.0,0,-68.0,0
516,"Dari Bekraf, Triawan Terbang ke Garuda?",2020-01-21,454.0,11910500.0,-14.0,0,-30.0,0,-42.0,0,-68.0,0,-68.0,0,-68.0,0,-38.0,0,-28.0,0,-36.0,0,-50.0,0,-66.0,0,-66.0,0,-66.0,0,-68.0,0
518,"Beredar! Irfan Jadi Dirut Garuda, Triawan Munaf Komut",2020-01-21,454.0,11910500.0,-14.0,0,-30.0,0,-42.0,0,-68.0,0,-68.0,0,-68.0,0,-38.0,0,-28.0,0,-36.0,0,-50.0,0,-66.0,0,-66.0,0,-66.0,0,-68.0,0
