title,date
"Pantes IHSG Jatuh! Asing Lepas BBRI-BMRI, Jualan UNVR-ARTO",19 August 2021 16:40
"IHSG Bakal Menguat Lagi, Cek Bocoran Saham Pilihan Hari Ini!",19 August 2021 08:27
Hari Kejepit! Asing Borong Saham BUKA-BBCA & Lepas INKP-BMRI,16 August 2021 16:04
"Market Cap BCA Melesat Rp 30 T, tapi Emtek Menyusut Rp 20 T",16 August 2021 11:51
Cek Dulu Gan! Deretan Saham Diborong-Dilepas Asing Sepekan,16 August 2021 08:20
Besok Libur! Cek Deretan Saham-saham Prospek Cuan Ini,10 August 2021 08:28
"Goks! Market Cap BRI Melesat Rp 27 T, Emtek Merosot Jauh",09 August 2021 12:30
IHSG Melesat! Asing Borong 5 Saham Big Cap & Lepas ADRO-MEDC,05 August 2021 16:30
"Sebelum Trading, Simak 10 Kabar Penting Emiten Ini Gaes!",05 August 2021 08:25
"Belanja Rp 6 T, Simak Deretan 10 Saham Favorit Asing 3 Bulan!",05 August 2021 07:10
"Unilever Indonesia Tunda Pelaksanaan RUPSLB, Ada Apa?",04 August 2021 14:13
"Data Covid-19 Membaik, Cek Bocoran Saham Potensi Cuan Ini!",04 August 2021 08:37
"Saham-saham Big Cap Rontok Berjamaah, Saatnya Masuk!",03 August 2021 18:45
"PPKM Jokowi Berlanjut, Ini Bocoran Saham-saham Pilihan!",03 August 2021 08:25
"Duh! 5 Saham LQ45 Rontok, Duit Rp 297 T Menguap dari Bursa RI",03 August 2021 08:04
Hari Ini Asing Borong Saham TLKM-UNVR & Obral BBCA-BBRI,02 August 2021 17:30
"Sempat Tertekan, IHSG Menguat Ditopang Net Buy Asing",02 August 2021 15:56
Terjun Bebas! Market Cap UNVR Disalip Emtek-Chandra Asri,02 August 2021 12:25
"Lolos dari Koreksi, IHSG Bertahan di Zona Hijau pada Sesi 1",02 August 2021 12:02
"Saham Blue Chip juga Bisa 'Longsor' Saat Pandemi, Gegara Apa?",02 August 2021 10:15
"Begini Daya Tarik Saham BBCA, TLKM & UNVR & Target Harganya",02 August 2021 09:25
IHSG Gelisah Tunggu Keputusan Pemerintah Soal PPKM,02 August 2021 09:21
"Saham-saham Paling Tekor Sebulan, Masih Ada 5 yang Tercuan!",02 August 2021 06:10
Trims ARTO & EMTK! 2 Saham yang Mampu Angkat IHSG Tahun Ini,30 July 2021 13:25
Waduh! Saham Trio 'Raksasa' INDF-ICBP-UNVR Nyungsep,28 July 2021 09:58
Digoreng? Saham Teknologi Milik Grup Ciputra Jadi Jawara,27 July 2021 17:05
"Saham Erick Thohir jadi Jawara, NICL & DUCK Terpental Parah",27 July 2021 12:23
"Kasus Baru Covid di RI Turun, IHSG Bersemangat di Zona Hijau",27 July 2021 09:21
"Duh! 5 Tahun Anyep, Saham UNVR Disarankan 'Jual' Nih",27 July 2021 07:20
"IHSG Hijau! Asing Lepas UNVR-DMMX, Borong TLKM-MIKA",26 July 2021 16:24
"Laba Ambles & Diobral Asing, Saham UNVR Terendah 8 Tahun",26 July 2021 10:35
"Jokowi Perpanjang PPKM Level 4, IHSG Pede Tembus Level 6.116",26 July 2021 09:27
"PPKM Level 4 Diperpanjang, Simak Saham Pilihan Cuan Hari Ini",26 July 2021 08:33
Cek Gaes! Ini Dia 5 Saham Paling 'Mahal' di Indeks LQ45,26 July 2021 08:05
"IHSG Loyo Lagi, Asing Koleksi ANTM-INCO & Lepas UNVR-WIKA",23 July 2021 16:55
"Bak 'Satpol PP', Kenaikan Kasus Covid-19 Bubarkan Pesta IHSG",23 July 2021 15:34
"Saham ZYRX-ABBA Melesat, Waduh MPPA-UNVR Malah Nyungsep!",23 July 2021 12:28
"Ikuti Tren Bursa Asia, IHSG Ditutup Melemah 0,7% di Sesi 1",23 July 2021 11:53
"IHSG Tak Kuat Terbang, Melipir Masuk ke Zona Merah",23 July 2021 09:37
"Laba Turun 15%, Saham Unilever Diobral Asing & Harga Ambles",23 July 2021 09:21
"Pandemi, Laba Unilever Indonesia Semester I Drop Jadi Rp 3 T",23 July 2021 08:20
"Gagal Cuan! 10 Saham Ini Tekor Gede Sejak Januari, UNVR-WIKA",23 July 2021 06:51
Cara Berburu Saham Bluechip Cuan di Tengah Ketidakpastian,22 July 2021 20:03
PPKM Diperpanjang Ini Pilihan Saham yang Masih Cuan,22 July 2021 19:56
"Gegara Inflasi, Laba Bersih Unilever Plc Anjlok Jadi Rp 53 T",22 July 2021 19:17
"Belum Mau Beli UNVR, Ini saham Mahal-Murah ala Lo Kheng Hong",21 July 2021 09:15
"Bela Palestina, Ben & Jerry's Setop Jualan Es Krim di Israel",20 July 2021 20:30
"Awas IHSG Longsor, Cek Dulu Deretan Saham Prospek Cuan Ini!",14 July 2021 08:33
"Cek Fakta! Meski Drop, 7 Saham Ini Diburu Asing Sejak Januari",14 July 2021 06:15
Awal Pekan Asing Borong Saham ICBP-INCO & Lepas INTP-MNCN,12 July 2021 17:50
"Diam-diam Bank Jago Pepet Astra, Market Cap BCA-BRI Merosot!",12 July 2021 13:10
Dua Faktor Ini Ikut Dorong IHSG Akhiri Sesi 1 di Jalur Hijau,12 July 2021 12:03
"Wadaw! IHSG Diramal Merah, Dicek Saham-saham Pilihan Hari Ini",12 July 2021 08:25
"Saham Allo Bank & Matahari Jadi Jawara, GGRM-WIKA Nyungsep!",05 July 2021 16:10
"Raja Big Cap Berjatuhan, Diobral Asing Saat IHSG Galau",05 July 2021 09:48
"Joss! 15 Saham Tercuan, GGRM Teratas Digoyang Isu Akuisisi",05 July 2021 06:40
"Kuat Diterjang PPKM Darurat, IHSG Bertahan di Atas 6.000",02 July 2021 09:52
"Sah! Ignasius Jonan Masuk Emiten Teknologi, Jadi Komut ATIC",01 July 2021 07:00
"Asing Lepas BCA-Astra, Borong Saham Bank Mandiri & Unilever",28 June 2021 16:50
"Corona RI Mengkhawatirkan, IHSG Ambruk 1% Lebih di Sesi II",28 June 2021 15:52
"Unilever Salip Bank Jago, Emiten IT Salim Masuk 10 Besar",28 June 2021 12:10
"Waswas 'Ledakan' Covid, Masih Bisa Cuan di Saham-saham Ini?",23 June 2021 14:40
"IHSG Melesat, Asing Lepas BBRI-BBCA & Koleksi BMRI-BRPT",22 June 2021 16:25
IHSG Jeblok! Asing Lepas BBCA-ASII & Borong 5 Saham Big Cap,21 June 2021 17:10
"Sakti! IHSG Balik ke Level 6.000, Asing Rebutan 5 Saham Ini",21 June 2021 14:14
"Depak HMSP, Saham DCII Milik Salim Resmi Masuk 10 Big Cap!",21 June 2021 12:25
"Digerogoti Pandemi, Saham Unilever Terendah dalam 8 Tahun",18 June 2021 18:17
"Gegara Bobot Free Float, UNVR-HMSP dkk Bakal Makin Longsor?",16 June 2021 06:44
"Alert! Drop 0,5%, IHSG Pagi-pagi Dilanda Obral Saham",15 June 2021 09:22
"Kemarin Drop, Ini Saham-saham Biang Kerok IHSG Nyungsep!",15 June 2021 06:20
Asing Borong Saham BBRI-MDKA & Lepas Saham BBTN-MIKA,14 June 2021 16:10
