Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,498.000000,500.000000,494.000000,494.000000,494.000000,5822400
2020-01-03,494.000000,498.000000,494.000000,494.000000,494.000000,4973300
2020-01-06,494.000000,500.000000,490.000000,494.000000,494.000000,11610700
2020-01-07,494.000000,498.000000,482.000000,486.000000,486.000000,24567800
2020-01-08,486.000000,488.000000,468.000000,468.000000,468.000000,26770000
2020-01-09,468.000000,478.000000,456.000000,456.000000,456.000000,25287500
2020-01-10,460.000000,474.000000,458.000000,466.000000,466.000000,30681600
2020-01-13,468.000000,486.000000,466.000000,472.000000,472.000000,47354300
2020-01-14,474.000000,478.000000,464.000000,468.000000,468.000000,17727700
2020-01-15,472.000000,472.000000,456.000000,456.000000,456.000000,27293200
2020-01-16,458.000000,462.000000,456.000000,456.000000,456.000000,9272600
2020-01-17,456.000000,462.000000,452.000000,452.000000,452.000000,8908800
2020-01-20,452.000000,464.000000,452.000000,456.000000,456.000000,20606000
2020-01-21,458.000000,460.000000,452.000000,454.000000,454.000000,11910500
2020-01-22,456.000000,466.000000,432.000000,440.000000,440.000000,48496900
2020-01-23,442.000000,446.000000,422.000000,424.000000,424.000000,31609100
2020-01-24,424.000000,428.000000,408.000000,412.000000,412.000000,22781100
2020-01-27,410.000000,412.000000,382.000000,386.000000,386.000000,34512600
2020-01-28,386.000000,420.000000,372.000000,416.000000,416.000000,36828600
2020-01-29,418.000000,434.000000,418.000000,426.000000,426.000000,29232100
2020-01-30,426.000000,428.000000,412.000000,418.000000,418.000000,14410000
2020-01-31,418.000000,420.000000,392.000000,404.000000,404.000000,21189700
2020-02-03,396.000000,406.000000,388.000000,388.000000,388.000000,10208300
2020-02-04,400.000000,400.000000,386.000000,386.000000,386.000000,7198600
2020-02-05,388.000000,394.000000,374.000000,380.000000,380.000000,12752800
2020-02-06,382.000000,402.000000,382.000000,396.000000,396.000000,21319700
2020-02-07,400.000000,402.000000,386.000000,386.000000,386.000000,59034200
2020-02-10,382.000000,388.000000,376.000000,378.000000,378.000000,16265000
2020-02-11,380.000000,382.000000,372.000000,374.000000,374.000000,8272900
2020-02-12,382.000000,382.000000,368.000000,368.000000,368.000000,8054700
2020-02-13,370.000000,372.000000,354.000000,356.000000,356.000000,15587800
2020-02-14,356.000000,360.000000,348.000000,348.000000,348.000000,7787100
2020-02-17,352.000000,352.000000,340.000000,340.000000,340.000000,9046600
2020-02-18,340.000000,348.000000,336.000000,340.000000,340.000000,21325700
2020-02-19,340.000000,352.000000,340.000000,342.000000,342.000000,23084100
2020-02-20,346.000000,346.000000,334.000000,334.000000,334.000000,19275500
2020-02-21,338.000000,338.000000,316.000000,318.000000,318.000000,27315700
2020-02-24,306.000000,312.000000,300.000000,302.000000,302.000000,29278400
2020-02-25,316.000000,316.000000,290.000000,302.000000,302.000000,24438200
2020-02-26,302.000000,304.000000,284.000000,284.000000,284.000000,31892800
2020-02-27,270.000000,296.000000,266.000000,268.000000,268.000000,35399200
2020-02-28,260.000000,260.000000,240.000000,250.000000,250.000000,27231000
2020-03-02,254.000000,286.000000,246.000000,254.000000,254.000000,58779800
2020-03-03,256.000000,278.000000,256.000000,268.000000,268.000000,46877900
2020-03-04,268.000000,276.000000,264.000000,276.000000,276.000000,21146400
2020-03-05,280.000000,298.000000,276.000000,284.000000,284.000000,63789200
2020-03-06,280.000000,284.000000,266.000000,278.000000,278.000000,21250400
2020-03-09,278.000000,278.000000,250.000000,250.000000,250.000000,26576100
2020-03-10,250.000000,266.000000,250.000000,262.000000,262.000000,23865800
2020-03-11,264.000000,268.000000,240.000000,244.000000,244.000000,18849200
2020-03-12,244.000000,244.000000,224.000000,226.000000,226.000000,27653800
2020-03-13,216.000000,230.000000,212.000000,222.000000,222.000000,16959000
2020-03-16,222.000000,222.000000,208.000000,208.000000,208.000000,13884700
2020-03-17,208.000000,210.000000,194.000000,194.000000,194.000000,10165100
2020-03-18,194.000000,195.000000,181.000000,181.000000,181.000000,9897300
2020-03-19,172.000000,178.000000,169.000000,169.000000,169.000000,8321600
2020-03-20,169.000000,169.000000,158.000000,159.000000,159.000000,18733600
2020-03-23,159.000000,160.000000,148.000000,150.000000,150.000000,11455700
2020-03-24,150.000000,160.000000,140.000000,150.000000,150.000000,13433700
2020-03-26,150.000000,176.000000,150.000000,170.000000,170.000000,42121700
2020-03-27,174.000000,202.000000,172.000000,185.000000,185.000000,63348500
2020-03-30,182.000000,182.000000,173.000000,175.000000,175.000000,14636900
2020-03-31,175.000000,189.000000,175.000000,181.000000,181.000000,15991300
2020-04-01,183.000000,189.000000,180.000000,182.000000,182.000000,18902900
2020-04-02,182.000000,191.000000,174.000000,183.000000,183.000000,21195400
2020-04-03,185.000000,195.000000,182.000000,191.000000,191.000000,25774900
2020-04-06,191.000000,218.000000,189.000000,210.000000,210.000000,42961500
2020-04-07,214.000000,230.000000,210.000000,218.000000,218.000000,31701100
2020-04-08,218.000000,228.000000,204.000000,204.000000,204.000000,20290500
2020-04-09,204.000000,220.000000,200.000000,210.000000,210.000000,15768100
